Member of the Bundestag,Born,Party,State1
Barbara Lanzinger,1954,CSU,Bayern
Silke Launert,1976,CSU,Bayern
Karl Lauterbach,1963,SPD,Nordrhein-Westfalen
Caren Lay,1972,DIE LINKE,Sachsen
Monika Lazar,1967,GRÜNE,Sachsen
Paul Lehrieder,1959,CSU,Bayern
Sabine Leidig,1961,DIE LINKE,Hessen
Katja Leikert,1975,CDU,Hessen
Steffi Lemke,1968,GRÜNE,Sachsen-Anhalt
Steffen-Claudio Lemme,1965,SPD,Thüringen
Philipp Lengsfeld,1972,CDU,Berlin
Ralph Lenkert,1967,DIE LINKE,Thüringen
Andreas Lenz,1981,CSU,Bayern
Philipp Graf von und zu Lerchenfeld,1952,CSU,Bayern
Michael Leutert,1974,DIE LINKE,Sachsen
Ursula von der Leyen,1958,CDU,Niedersachsen
Antje Lezius,1960,CDU,Rheinland-Pfalz
Stefan Liebich,1972,DIE LINKE,Berlin
Ingbert Liebing,1963,CDU,Schleswig-Holstein
Matthias Lietz,1953,CDU,Mecklenburg-Vorpommern
Andrea Lindholz,1970,CSU,Bayern
Tobias Lindner,1982,GRÜNE,Rheinland-Pfalz
Carsten Linnemann,1977,CDU,Nordrhein-Westfalen
Patricia Lips,1963,CDU,Hessen
Burkhard Lischka,1965,SPD,Sachsen-Anhalt
Wilfried Lorenz,1942,CDU,Niedersachsen
Gabriele Lösekrug-Möller,1951,SPD,Niedersachsen
Hiltrud Lotze,1958,SPD,Niedersachsen
Gesine Lötzsch,1961,DIE LINKE,Berlin
Claudia Lücking-Michel,1962,CDU,Nordrhein-Westfalen
Jan-Marco Luczak,1975,CDU,Berlin
Daniela Ludwig,1975,CSU,Bayern
Kirsten Lühmann,1964,SPD,Niedersachsen
Thomas Lutze,1969,DIE LINKE,Saarland
Karin Maag,1962,CDU,Baden-Württemberg
Yvonne Magwas,1979,CDU,Sachsen
Thomas Mahlberg,1965,CDU,Nordrhein-Westfalen
Nicole Maisch,1981,GRÜNE,Hessen
Thomas de Maizière,1954,CDU,Sachsen
Birgit Malecha-Nissen,1958,SPD,Schleswig-Holstein
Gisela Manderla,1958,CDU,Nordrhein-Westfalen
Caren Marks,1963,SPD,Niedersachsen
Matern von Marschall,1962,CDU,Baden-Württemberg
Hans-Georg von der Marwitz,1961,CDU,Brandenburg
Katja Mast,1971,SPD,Baden-Württemberg
Andreas Mattfeldt,1969,CDU,Niedersachsen
Hilde Mattheis,1954,SPD,Baden-Württemberg
Stephan Mayer,1973,CSU,Bayern
(Altötting),,,
Reiner Meier,1953,CSU,Bayern
Michael Meister,1961,CDU,Hessen
Peter Meiwald,1966,GRÜNE,Niedersachsen
Birgit Menz,1962,DIE LINKE,Bremen
Angela Merkel,1954,CDU,Mecklenburg-Vorpommern
Jan Metzler,1981,CDU,Rheinland-Pfalz
Maria Michalk,1949,CDU,Sachsen
Hans Michelbach,1949,CSU,Bayern
Mathias Middelberg,1964,CDU,Niedersachsen
Matthias Miersch,1968,SPD,Niedersachsen
Irene Mihalic,1976,GRÜNE,Nordrhein-Westfalen
Klaus Mindrup,1964,SPD,Berlin
Philipp Mißfelder,1979,CDU,Nordrhein-Westfalen
Susanne Mittag,1958,SPD,Niedersachsen
Cornelia Möhring,1960,DIE LINKE,Schleswig-Holstein
Dietrich Monstadt,1957,CDU,Mecklenburg-Vorpommern
Karsten Möring,1949,CDU,Nordrhein-Westfalen
Marlene Mortler,1955,CSU,Bayern
Volker Mosblech,1955,CDU,Nordrhein-Westfalen
Elisabeth Motschmann,1952,CDU,Bremen
Niema Movassat,1984,DIE LINKE,Nordrhein-Westfalen
Bettina Müller,1959,SPD,Hessen
Carsten Müller,1970,CDU,Niedersachsen
(Braunschweig),,,
Detlef Müller,1964,SPD,Sachsen
(Chemnitz),,,
Gerd Müller,1955,CSU,Bayern
Norbert Müller,1986,DIE LINKE,Brandenburg
(Potsdam),,,
Stefan Müller,1975,CSU,Bayern
(Erlangen),,,
Beate Müller-Gemmeke,1960,GRÜNE,Baden-Württemberg
Michelle Müntefering,1980,SPD,Nordrhein-Westfalen
Philipp Murmann,1964,CDU,Schleswig-Holstein
Özcan Mutlu,1968,GRÜNE,Berlin
Rolf Mützenich,1959,SPD,Nordrhein-Westfalen
Andrea Nahles,1970,SPD,Rheinland-Pfalz
Alexander Neu,1969,DIE LINKE,Nordrhein-Westfalen
Andreas Nick,1967,CDU,Rheinland-Pfalz
Dietmar Nietan,1964,SPD,Nordrhein-Westfalen
Ulli Nissen,1959,SPD,Hessen
Michaela Noll,1959,CDU,Nordrhein-Westfalen
Thomas Nord,1957,DIE LINKE,Brandenburg
Konstantin von Notz,1971,GRÜNE,Schleswig-Holstein
Omid Nouripour,1975,GRÜNE,Hessen
Helmut Nowak,1941,CDU,Nordrhein-Westfalen
Georg Nüßlein,1969,CSU,Bayern
Julia Obermeier,1984,CSU,Bayern
Wilfried Oellers,1975,CDU,Nordrhein-Westfalen
Thomas Oppermann,1954,SPD,Niedersachsen
Florian Oßner,1980,CSU,Bayern
Friedrich Ostendorff,1953,GRÜNE,Nordrhein-Westfalen
Tim Ostermann,1979,CDU,Nordrhein-Westfalen
Henning Otte,1968,CDU,Niedersachsen
Cem Özdemir,1965,GRÜNE,Baden-Württemberg
Mahmut Özdemir,1987,SPD,Nordrhein-Westfalen
(Duisburg),,,
Aydan Özo_uz,1967,SPD,Hamburg
Ingrid Pahlmann,1957,CDU,Niedersachsen
Sylvia Pantel,1961,CDU,Nordrhein-Westfalen
Markus Paschke,1963,SPD,Niedersachsen
Martin Patzelt,1947,CDU,Brandenburg
Martin Pätzold,1984,CDU,Berlin
Petra Pau,1963,DIE LINKE,Berlin
Elisabeth Paus,1968,GRÜNE,Berlin
Christian Petry,1965,SPD,Saarland
Harald Petzold,1962,DIE LINKE,Brandenburg
(Havelland),,,
Ulrich Petzold,1951,CDU,Sachsen-Anhalt
Joachim Pfeiffer,1967,CDU,Baden-Württemberg
Sibylle Pfeiffer,1951,CDU,Hessen
Jeannine Pflugradt,1973,SPD,Mecklenburg-Vorpommern
Detlev Pilger,1955,SPD,Rheinland-Pfalz
Richard Pitterle,1959,DIE LINKE,Baden-Württemberg
Ronald Pofalla,1959,CDU,Nordrhein-Westfalen
Eckhard Pols,1962,CDU,Niedersachsen
Sabine Poschmann,1968,SPD,Nordrhein-Westfalen
Joachim Poß,1948,SPD,Nordrhein-Westfalen
Achim Post,1959,SPD,Nordrhein-Westfalen
(Minden),,,
Florian Post,1981,SPD,Bayern
Brigitte Pothmer,1955,GRÜNE,Niedersachsen
Wilhelm Priesmeier,1954,SPD,Niedersachsen
Florian Pronold,1972,SPD,Bayern
Sascha Raabe,1968,SPD,Hessen
Simone Raatz,1962,SPD,Sachsen
Martin Rabanus,1971,SPD,Hessen
Thomas Rachel,1962,CDU,Nordrhein-Westfalen
Kerstin Radomski,1974,CDU,Nordrhein-Westfalen
Alexander Radwan,1964,CSU,Bayern
Alois Georg Josef Rainer,1965,CSU,Bayern
Peter Ramsauer,1954,CSU,Bayern
Mechthild Rawert,1957,SPD,Berlin
Stefan Rebmann,1962,SPD,Baden-Württemberg
Eckhardt Rehberg,1954,CDU,Mecklenburg-Vorpommern
Katherina Reiche,1973,CDU,Brandenburg
(Potsdam),,,
Gerold Reichenbach,1953,SPD,Hessen
Carola Reimann,1967,SPD,Niedersachsen
Martina Renner,1967,DIE LINKE,Thüringen
Daniela De Ridder,1962,SPD,Niedersachsen
Lothar Riebsamen,1957,CDU,Baden-Württemberg
Josef Rief,1960,CDU,Baden-Württemberg
Heinz Riesenhuber,1935,CDU,Hessen
Andreas Rimkus,1962,SPD,Nordrhein-Westfalen
Iris Ripsam,1959,CDU,Baden-Württemberg
Sönke Rix,1975,SPD,Schleswig-Holstein
Petra Rode-Bosse,1959,SPD,Nordrhein-Westfalen
Dennis Rohde,1986,SPD,Niedersachsen
Johannes Röring,1959,CDU,Nordrhein-Westfalen
Kathrin Rösel,1970,CDU,Niedersachsen
Martin Rosemann,1976,SPD,Baden-Württemberg
René Röspel,1964,SPD,Nordrhein-Westfalen
Ernst Dieter Rossmann,1951,SPD,Schleswig-Holstein
Tabea Rößner,1966,GRÜNE,Rheinland-Pfalz
Claudia Roth,1955,GRÜNE,Bayern
(Augsburg),,,
Michael Roth,1970,SPD,Hessen
(Heringen),,,
Norbert Röttgen,1965,CDU,Nordrhein-Westfalen
Erwin Rüddel,1955,CDU,Rheinland-Pfalz
Corinna Rüffer,1975,GRÜNE,Rheinland-Pfalz
Albert Rupprecht,1968,CSU,Bayern
Susann Rüthrich,1977,SPD,Sachsen
Bernd Rützel,1968,SPD,Bayern
Sarah Ryglewski,1983,SPD,Bremen
Johann Saathoff,1967,SPD,Niedersachsen
Manuel Sarrazin,1982,GRÜNE,Hamburg
Annette Sawade,1953,SPD,Baden-Württemberg
Hans-Joachim Schabedoth,1952,SPD,Hessen
Anita Schäfer,1951,CDU,Rheinland-Pfalz
(Saalstadt),,,
