Name,Year of birth,party,State
Kerstin Radomski,1974,CDU,North Rhine-Westphalia
Alexander Radwan,1964,CSU,Bavaria
Alois Rainer,1965,CSU,Bavaria
Peter Ramsauer,1954,CSU,Bavaria
Mechthild Rawert,1957,SPD,Berlin
Eckhardt Rehberg,1954,CDU,Mecklenburg-Vorpommern
Martin Reichardt,1969,AfD,Saxony-Anhalt
Hagen Reinhold,1978,FDP,Mecklenburg-Vorpommern
Ingrid Remmers,1965,The Left,North Rhine-Westphalia
Martin Renner,1954,AfD,North Rhine-Westphalia
Martina Renner,1967,The Left,Thuringia
Roman Reusch,1954,AfD,Brandenburg
Bernd Reuther,1971,FDP,North Rhine-Westphalia
Daniela De Ridder,1962,SPD,Lower Saxony
Lothar Riebsamen,1957,CDU,Baden-Württemberg
Josef Rief,1960,CDU,Baden-Württemberg
Bernd Riexinger,1955,The Left,Baden-Württemberg
Andreas Rimkus,1962,SPD,North Rhine-Westphalia
Sönke Rix,1975,SPD,Schleswig-Holstein
Dennis Rohde,1986,SPD,Lower Saxony
Johannes Röring,1959,CDU,North Rhine-Westphalia
Martin Rosemann,1976,SPD,Baden-Württemberg
René Röspel,1964,SPD,North Rhine-Westphalia
Ernst Dieter Rossmann,1951,SPD,Schleswig-Holstein
Tabea Rößner,1966,Greens,Rhineland-Palatinate
Claudia Roth,1955,Greens,Bavaria
Michael Roth,1970,SPD,Hesse
Norbert Röttgen,1965,CDU,North Rhine-Westphalia
Manuela Rottmann,1972,Greens,Bavaria
Stefan Rouenhoff,1978,CDU,North Rhine-Westphalia
Erwin Rüddel,1955,CDU,Rhineland-Palatinate
Corinna Rüffer,1975,Greens,Rhineland-Palatinate
Albert Rupprecht,1968,CSU,Bavaria
Susann Rüthrich,1977,SPD,Saxony
Bernd Rützel,1968,SPD,Bavaria
Sarah Ryglewski,1983,SPD,Bremen
Johann Saathoff,1967,SPD,Lower Saxony
Manuel Sarrazin,1982,Greens,Hamburg
Thomas Sattelberger,1949,FDP,Bavaria
Stefan Sauer,1966,CDU,Hesse
Christian Sauter,1980,FDP,North Rhine-Westphalia
Anita Schäfer,1951,CDU,Rhineland-Palatinate
Axel Schäfer,1952,SPD,North Rhine-Westphalia
Frank Schäffler,1968,FDP,North Rhine-Westphalia
Wolfgang Schäuble,1942,CDU,Baden-Württemberg
Ulle Schauws,1966,Greens,North Rhine-Westphalia
